SNAP (SNAP INC),20.42,+0.67,
Feb 18 2018 @ 16:15 ET,Bid,20.41,Ask,20.42,Size,0x0,Vol,33917697,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 10.50 (SNAP1816B10.5-OG),0.0,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-OG),0.16,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-P),0.0,0.0,9.60,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-P),0.09,0.0,0.0,0.03,0,113,
18 Feb 10.50 (SNAP1816B10.5-S),0.0,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-S),0.01,0.0,0.0,0.10,0,113,
18 Feb 10.50 (SNAP1816B10.5-X),0.0,0.0,9.85,10.25,0,32,18 Feb 10.50 (SNAP1816N10.5-X),0.02,0.0,0.0,0.10,0,113,
18 Feb 10.50 (SNAP1816B10.5-Y),0.0,0.0,7.50,12.50,0,32,18 Feb 10.50 (SNAP1816N10.5-Y),0.0,0.0,0.0,5.00,0,113,
18 Feb 11.00 (SNAP1816B11),9.20,+0.10,9.35,9.50,1,173,18 Feb 11.00 (SNAP1816N11),0.01,0.0,0.0,0.05,0,7443,
18 Feb 11.00 (SNAP1816B11-3),3.60,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-3),0.01,0.0,0.0,0.11,0,7443,
18 Feb 11.00 (SNAP1816B11-4),9.10,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-4),0.02,0.0,0.0,0.05,0,7443,
18 Feb 11.00 (SNAP1816B11-8),8.28,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-8),0.02,0.0,0.0,0.05,0,7443,
18 Feb 11.00 (SNAP1816B11-A),3.15,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-A),0.02,0.0,0.0,0.05,0,7443,
18 Feb 11.00 (SNAP1816B11-B),3.30,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-B),0.18,0.0,0.0,0.10,0,7443,
18 Feb 11.00 (SNAP1816B11-E),8.65,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-E),0.01,0.0,0.0,0.11,0,7443,
18 Feb 11.00 (SNAP1816B11-I),3.00,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-I),0.01,0.0,0.0,0.11,0,7443,
18 Feb 11.00 (SNAP1816B11-J),0.0,0.0,9.35,9.50,0,173,18 Feb 11.00 (SNAP1816N11-J),0.15,0.0,0.0,0.05,0,7443,
18 Feb 11.00 (SNAP1816B11-K),0.0,0.0,9.35,11.95,0,173,18 Feb 11.00 (SNAP1816N11-K),0.0,0.0,0.0,5.00,0,7443,
18 Feb 11.00 (SNAP1816B11-O),9.20,+6.50,9.35,9.50,1,173,18 Feb 11.00 (SNAP1816N11-O),0.01,0.0,0.0,0.05,0,7443,
