GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 22.00 (GM1816B22-X),19.50,0.0,19.05,19.20,0,26,18 Feb 22.00 (GM1816N22-X),0.0,0.0,0.0,0.04,0,40,
18 Feb 22.00 (GM1816B22-Y),0.0,0.0,18.85,19.20,0,26,18 Feb 22.00 (GM1816N22-Y),0.0,0.0,0.0,0.03,0,40,
18 Feb 23.00 (GM1816B23),20.30,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23),0.01,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-3),20.30,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-3),0.0,0.0,0.0,0.05,0,761,
18 Feb 23.00 (GM1816B23-4),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-4),0.28,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-8),0.0,0.0,16.00,20.50,0,88,18 Feb 23.00 (GM1816N23-8),0.17,0.0,0.0,4.80,0,761,
18 Feb 23.00 (GM1816B23-A),0.0,0.0,0.0,0.0,0,88,18 Feb 23.00 (GM1816N23-A),0.14,0.0,0.0,0.0,0,761,
18 Feb 23.00 (GM1816B23-B),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-B),0.08,0.0,0.0,0.13,0,761,
18 Feb 23.00 (GM1816B23-E),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-E),0.13,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-I),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-I),0.16,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-J),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-J),0.18,0.0,0.0,0.21,0,761,
18 Feb 23.00 (GM1816B23-K),0.0,0.0,15.70,20.50,0,88,18 Feb 23.00 (GM1816N23-K),0.0,0.0,0.0,5.00,0,761,
18 Feb 23.00 (GM1816B23-O),18.95,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-O),0.08,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-OG),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-OG),0.0,0.0,0.0,0.13,0,761,
18 Feb 23.00 (GM1816B23-P),0.0,0.0,0.0,0.0,0,88,18 Feb 23.00 (GM1816N23-P),0.20,0.0,0.0,0.0,0,761,
18 Feb 23.00 (GM1816B23-S),0.0,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-S),0.08,0.0,0.0,0.01,0,761,
18 Feb 23.00 (GM1816B23-X),21.15,0.0,18.05,18.30,0,88,18 Feb 23.00 (GM1816N23-X),0.01,0.0,0.0,0.01,0,761,
